timestamp,price,market_cap,total_volume
2024-04-09 00:00:00,0.33871427231785023,0.33351552393137607,0.08958125388494265
2024-04-10 00:00:00,0.29153490267155635,0.2866949013947764,0.10087967860222607
2024-04-11 00:00:00,0.3177361175679376,0.3116932764751388,0.10720252161566221
2024-04-12 00:00:00,0.3096757488925732,0.30358465453174,0.07956485044006192
2024-04-13 00:00:00,0.2550523231764097,0.24789909377595132,0.12424749366638421
2024-04-14 00:00:00,0.20056819503325518,0.19804228422296388,0.1434629359137071
2024-04-15 00:00:00,0.22635968807552076,0.22051592937405573,0.11360991701143727
2024-04-16 00:00:00,0.18192535350126415,0.1767236125816236,0.12198768051643186
2024-04-17 00:00:00,0.1874733125500665,0.18226747779889507,0.11984802578772186
2024-04-18 00:00:00,0.1417087732716651,0.13738572618974243,0.11638873862823043
2024-04-19 00:00:00,0.18251896050772198,0.17830413841286563,0.09891593694076062
2024-04-20 00:00:00,0.1926076912558916,0.19157216630135476,0.15354594579347147
2024-04-21 00:00:00,0.20993680751348798,0.2056999164972062,0.03433571876751271
2024-04-22 00:00:00,0.2107405381925973,0.20745974774856069,0.04434170704517946
2024-04-23 00:00:00,0.24719838170999076,0.2434678648846056,0.07163457056364247
2024-04-24 00:00:00,0.23887990258749037,0.23360513333319544,0.056522112760575095
2024-04-25 00:00:00,0.19817037558519734,0.19372833116759658,0.08231323466192969
2024-04-26 00:00:00,0.20212501884923317,0.19744169088622443,0.06145139350804087
2024-04-27 00:00:00,0.18903914137508404,0.18407143652297164,0.05675576325789885
2024-04-28 00:00:00,0.18358396702043067,0.1782359653302854,0.042997770701720235
2024-04-29 00:00:00,0.17426851440991165,0.16976806405225364,0.032925191172685914
2024-04-30 00:00:00,0.18895015337350318,0.18563533478043936,0.06994274224391978
2024-05-01 00:00:00,0.1306211669437618,0.1282993964843333,0.11106750848138638
2024-05-02 00:00:00,0.08370286361327328,0.08379359910830475,0.14980357414262715
2024-05-03 00:00:00,0.0997307477561522,0.09638739955030462,0.07333081855215423
2024-05-04 00:00:00,0.17061185589763905,0.16889167702426255,0.0911864618665226
2024-05-05 00:00:00,0.18938591217117073,0.18601231313263722,0.047415143304037975
2024-05-06 00:00:00,0.19301317602777313,0.18805688968632528,0.03940135464825602
2024-05-07 00:00:00,0.1769866682797061,0.17333381806181913,0.0387390659586461
2024-05-08 00:00:00,0.16149793042680716,0.15877299188262506,0.0454560432104821
2024-05-09 00:00:00,0.1395389223625776,0.13423192557375674,0.04672321277049623
2024-05-10 00:00:00,0.17652968657454582,0.1699475876220129,0.06524051629673569
2024-05-11 00:00:00,0.13327611583520582,0.1298632541571585,0.059049428758889584
2024-05-12 00:00:00,0.13114739304418577,0.12765153509229088,0.01934085761403634
2024-05-13 00:00:00,0.14511787834807444,0.14133698592623078,0.022436316259313235
2024-05-14 00:00:00,0.17136660924290892,0.16809718400746632,0.07160737888193552
2024-05-15 00:00:00,0.1463054085976614,0.14299843375682464,0.05099982217510949
2024-05-16 00:00:00,0.23531239162921036,0.2338034840172427,0.10627807885147825
2024-05-17 00:00:00,0.2169492254466574,0.2137502725663436,0.07620542641836353
2024-05-18 00:00:00,0.2512447066628276,0.24557239838621792,0.06376843809443719
2024-05-19 00:00:00,0.24855607940653757,0.24623871256844398,0.022368695566011794
2024-05-20 00:00:00,0.23592844542046665,0.23156186086795127,0.00914214294097707
2024-05-21 00:00:00,0.3350041304704492,0.3296187683155263,0.0989890789419208
2024-05-22 00:00:00,0.3112672810084851,0.3064342240812643,0.11632748546444835
2024-05-23 00:00:00,0.2919665430816596,0.28707914882023533,0.08271322542553008
2024-05-24 00:00:00,0.26757383706287663,0.2620909192687628,0.11007232237955533
2024-05-25 00:00:00,0.2796952433036757,0.27601045210570785,0.07290218261830542
2024-05-26 00:00:00,0.29363601498338543,0.288787319269044,0.03208564611978181
2024-05-27 00:00:00,0.27910040934720914,0.2746463961641785,0.016406691598731628
2024-05-28 00:00:00,0.29552647123653,0.291619547238555,0.04230619778091196
2024-05-29 00:00:00,0.27542265686473244,0.272899968214666,0.0834449698480188
2024-05-30 00:00:00,0.26127443400769756,0.2576368411617449,0.06016428091069052
2024-05-31 00:00:00,0.27649150876294204,0.27155327318894606,0.06358969608110288
2024-06-01 00:00:00,0.25931666622571337,0.2575136269259475,0.044653525638363493
2024-06-02 00:00:00,0.26370580694241474,0.2594862672725833,0.01466772311051849
2024-06-03 00:00:00,0.26438876232961395,0.2616885699433118,0.03278149337466445
2024-06-04 00:00:00,0.2848307765705982,0.2805680513818485,0.07870737832803543
2024-06-05 00:00:00,0.31911619287747617,0.31471624412078225,0.08439170461370465
2024-06-06 00:00:00,0.330302583705117,0.32383458548185473,0.08773569035915643
2024-06-07 00:00:00,0.3221697796379852,0.31860539281908906,0.05779582570660904
2024-06-08 00:00:00,0.29472514659052673,0.29107464302457453,0.041013537331745745
2024-06-09 00:00:00,0.29452884952223224,0.2907838113908532,0.014548091737711516
2024-06-10 00:00:00,0.30101686858433196,0.29705032804341047,0.013787651408078722
2024-06-11 00:00:00,0.29793637535024997,0.29398267045275794,0.04348424708669927
2024-06-12 00:00:00,0.2565266617755324,0.2537082505224242,0.10765419243309482
2024-06-13 00:00:00,0.27365996688312855,0.2706809161148622,0.09933819377362846
2024-06-14 00:00:00,0.2444935804492121,0.24356709104168606,0.0780129965988211
2024-06-15 00:00:00,0.23130465984568205,0.2288800137574467,0.07236539418681612
2024-06-16 00:00:00,0.2347377366651724,0.23121737924096863,0.023865228325260522
