,open,high,low,close,volume
2005-11-25,18.7,18.7,13.89,13.89,25015
2005-12-02,13.6,13.6,12.64,13.28,39795
2005-12-09,13.12,13.2,12.85,12.85,5945
2005-12-15,12.6,12.87,12.5,12.5,17135
2005-12-23,12.1,14.06,12.1,14.06,6815
2005-12-30,14.19,14.19,13.75,13.75,9820
2006-01-06,13.85,14.7,13.85,13.89,19845
2006-01-13,13.89,14.4,13.1,13.1,11990
2006-01-20,13.1,14.7,13.1,14.7,25850
2006-01-27,13.76,15.73,13.76,15.73,12620
2006-02-03,15.68,16.6,15.68,16.25,36625
2006-02-10,16.4,16.4,15.97,15.97,12600
2006-02-17,16.05,16.85,16.05,16.85,24335
2006-02-24,16.65,18.66,16.65,18.1,10345
2006-03-03,19.0,19.0,18.1,18.47,15680
2006-03-10,18.77,18.77,17.42,17.53,24455
2006-03-17,17.55,18.04,17.28,17.28,4230
2006-03-24,17.4,17.85,17.4,17.85,4375
2006-03-31,17.15,20.82,17.15,20.65,25800
2006-04-07,20.7,22.0,20.7,21.77,38485
2006-04-13,21.6,21.6,20.54,20.54,4575
2006-04-21,21.0,23.0,21.0,23.0,10600
2006-04-28,23.22,23.22,21.5,21.5,21900
2006-05-05,22.44,24.68,22.44,24.68,5615
2006-05-12,25.34,25.34,23.84,23.84,28470
2006-05-19,24.1,24.1,19.58,19.62,18580
2006-05-26,19.58,20.43,19.11,20.43,20160
2006-06-01,20.48,20.48,19.83,20.11,12515
2006-06-09,20.11,20.11,19.0,19.1,32750
2006-06-16,18.38,20.3,17.7,20.3,20725
2006-06-22,19.88,19.88,19.57,19.8,2790
2006-06-30,19.87,21.32,19.5,21.32,6145
2006-07-07,22.67,22.67,21.99,22.58,2970
2006-07-14,22.13,22.15,20.77,20.97,7670
2006-07-19,20.4,20.96,20.4,20.96,1575
2006-07-28,20.7,21.22,20.7,21.05,3500
2006-08-03,21.0,22.58,21.0,22.58,2300
2006-08-11,22.6,22.6,21.85,21.92,6430
2006-08-14,22.6,22.6,22.6,22.6,1250
2006-08-18,22.46,23.0,22.46,22.75,1175
2006-08-25,23.05,23.15,20.45,20.45,5610
2006-09-01,20.8,22.34,20.8,22.34,7070
2006-09-05,22.75,22.75,22.34,22.34,1980
2006-09-08,20.7,20.7,20.7,20.7,2275
2006-09-13,21.49,21.5,21.49,21.5,26375
2006-09-22,21.2,21.5,21.2,21.2,6810
2006-09-29,20.39,21.0,20.38,20.71,5845
2006-10-06,20.78,20.89,19.88,19.88,65005
2006-10-13,20.13,20.51,19.6,20.27,26120
2006-10-19,20.11,21.99,20.11,21.5,31295
2006-10-27,21.4,22.65,21.15,21.77,38425
2006-11-03,21.62,22.53,21.62,22.39,12185
2006-11-09,22.25,23.23,22.25,22.8,31225
2006-11-17,22.99,24.5,22.8,24.26,32865
2006-11-24,23.85,30.49,23.85,28.56,216575
2006-12-01,29.74,30.79,27.13,30.2,94270
2006-12-08,30.16,31.62,29.81,29.88,122420
2006-12-15,30.99,33.02,30.01,31.87,38330
2006-12-22,31.86,31.86,30.01,30.7,23790
2006-12-29,31.42,32.5,31.0,31.28,15520
2007-01-05,32.01,33.09,30.51,30.51,26900
2007-01-12,31.48,32.58,30.8,31.55,11285
2007-01-19,31.72,32.55,31.01,31.01,56690
2007-01-26,32.09,36.5,31.21,33.75,238655
2007-02-02,34.34,36.09,33.3,35.9,98750
2007-02-09,36.99,39.94,35.03,38.21,125335
2007-02-16,38.89,39.29,37.02,38.99,265980
2007-02-23,38.88,40.36,36.99,38.12,145640
2007-03-02,36.23,37.6,33.52,36.48,303120
2007-03-09,34.5,37.27,34.01,37.0,167710
2007-03-16,37.31,38.19,35.91,37.69,135455
2007-03-23,38.19,41.49,38.19,41.49,255960
2007-03-30,41.8,42.49,39.75,41.94,146900
2007-04-05,41.57,43.49,41.49,43.39,79195
2007-04-13,43.41,46.0,42.88,44.47,241675
2007-04-20,44.85,50.77,43.86,49.39,299650
2007-04-27,49.74,51.25,47.01,49.29,196350
2007-05-04,49.29,49.29,46.01,46.01,126050
2007-05-11,47.95,50.0,47.5,50.0,148230
2007-05-18,50.51,51.33,47.25,50.3,166150
2007-05-25,50.0,53.54,49.44,52.43,227660
2007-06-01,52.11,52.83,50.67,51.6,82370
2007-06-08,52.71,52.71,47.01,48.51,238295
2007-06-15,50.01,52.8,48.0,52.2,143855
2007-06-22,52.68,52.68,48.87,48.87,345410
2007-06-29,48.74,49.29,46.62,49.11,287135
2007-07-06,49.2,50.69,48.8,49.75,204140
2007-07-13,49.84,51.1,49.5,51.07,194480
2007-07-20,51.29,52.19,50.01,51.5,151215
2007-07-27,51.1,52.39,47.66,48.3,280015
2007-08-03,48.31,50.08,47.81,47.9,168455
2007-08-10,48.29,50.5,45.04,45.6,187340
2007-08-17,46.81,47.97,38.8,41.53,367215
2007-08-24,42.69,51.11,42.01,50.0,233690
2007-08-31,50.0,50.15,46.32,49.5,94120
2007-09-07,49.99,50.743,47.51,47.511,78845
2007-09-14,47.06,49.02,45.01,48.5,134475
2007-09-21,48.01,54.2,47.18,54.2,171520
2007-09-28,54.15,57.55,52.13,55.95,315105
2007-10-05,55.92,58.95,52.74,58.5,435320
2007-10-12,59.99,62.09,58.25,61.74,148140
2007-10-19,62.0,62.19,58.0,59.07,153500
2007-10-26,57.99,63.75,56.64,61.5,184580
2007-11-02,62.99,63.36,59.85,60.47,122860
2007-11-09,61.0,72.35,59.65,69.31,371595
2007-11-16,69.51,70.99,59.72,60.98,343675
2007-11-23,60.99,60.99,53.51,59.4,409715
2007-11-30,60.06,66.32,57.31,65.06,297635
2007-12-07,65.74,69.49,65.49,68.11,339120
2007-12-14,70.0,70.5,67.5,68.04,190650
2007-12-21,67.69,70.93,65.01,69.1,331530
2007-12-28,70.22,78.79,70.22,74.05,68205
2008-01-04,74.88,75.8,71.23,71.8,122985
2008-01-11,71.64,72.66,61.19,63.5,474670
2008-01-18,63.04,65.88,55.27,58.88,759650
2008-01-25,56.32,64.7,45.5,63.7,519180
2008-02-01,62.2,67.13,60.8,66.5,233810
2008-02-08,72.32,73.43,66.8,68.45,560620
2008-02-15,66.91,73.69,66.5,70.18,235585
2008-02-22,70.4,72.49,69.72,71.77,150240
2008-02-29,71.53,73.5,66.39,67.43,231590
2008-03-07,66.73,72.5,66.73,70.95,227910
2008-03-14,69.61,70.79,67.24,68.96,171390
2008-03-20,67.15,69.5,63.61,67.2,195905
2008-03-28,68.11,70.42,67.23,69.39,112850
2008-04-04,69.76,69.98,67.0,68.96,59605
2008-04-11,69.1,69.7,67.47,68.22,53010
2008-04-18,67.72,70.4,67.14,69.04,81490
2008-04-25,69.72,72.0,68.5,70.96,119685
2008-05-02,71.3,71.46,68.82,70.11,68515
2008-05-09,69.75,78.09,66.36,77.0,253035
2008-05-16,77.0,81.92,75.35,80.75,194700
2008-05-23,81.24,85.87,80.55,85.5,169305
2008-05-30,85.49,88.95,81.19,88.48,540440
2008-06-06,88.75,93.43,87.15,88.5,199920
2008-06-13,88.99,90.0,83.13,87.7,145890
2008-06-20,87.0,94.04,86.84,91.0,149290
2008-06-27,91.0,91.73,81.0,83.26,159510
2008-07-04,84.21,85.0,79.99,83.03,158720
2008-07-11,84.47,84.47,78.59,81.65,102210
2008-07-18,84.28,84.28,77.33,79.26,194625
2008-07-25,81.94,85.6,78.1,80.6,62520
2008-08-01,80.28,85.99,77.49,81.01,103685
2008-08-08,82.32,83.15,77.01,80.53,85910
2008-08-15,82.0,84.36,74.74,84.12,134930
2008-08-22,84.51,91.92,80.9,90.44,207635
2008-08-29,91.36,93.13,86.99,92.6,91740
2008-09-05,92.0,92.44,81.01,82.0,209695
2008-09-12,85.9,86.13,70.15,78.51,278660
2008-09-19,78.49,84.06,73.5,84.06,244120
2008-09-26,84.0,84.49,68.88,71.09,270675
2008-10-03,70.59,70.59,53.6,62.02,823725
2008-10-10,57.65,58.49,39.39,39.99,600030
2008-10-17,43.99,55.89,41.6,44.25,628880
2008-10-24,46.1,51.99,28.0,30.0,514960
2008-10-31,26.4,34.73,24.11,32.6,601825
2008-11-07,33.99,44.73,31.1,32.9,1662185
2008-11-14,35.46,38.25,31.25,33.88,812005
2008-11-21,34.8,35.17,26.5,28.2,588825
2008-11-28,30.19,37.47,29.78,35.27,440355
2008-12-05,35.54,37.49,31.52,34.5,327045
2008-12-12,37.7,39.72,35.61,36.35,333315
2008-12-19,37.34,39.2,35.55,38.5,424030
2008-12-23,40.0,40.0,37.71,39.17,116100
2008-12-30,40.51,42.0,40.0,41.14,197645
2009-01-02,42.0,44.48,41.75,43.55,24470
2009-01-09,47.09,48.11,39.9,45.92,287285
2009-01-16,45.0,45.72,37.62,41.29,245340
2009-01-23,42.09,42.5,37.8,39.09,195930
2009-01-30,39.45,41.75,37.3,37.3,201960
2009-02-06,37.55,39.6,35.65,39.49,173265
2009-02-13,38.11,42.3,36.0,40.3,301430
2009-02-20,40.2,41.96,38.36,39.6,115315
2009-02-27,39.56,39.6,33.74,35.05,218055
2009-03-06,33.49,35.3,30.3,30.4,242760
2009-03-13,30.25,34.79,29.09,32.93,188640
2009-03-20,32.92,34.27,31.01,33.67,82840
2009-03-27,33.67,34.86,31.3,33.98,399530
2009-04-03,33.05,40.3,32.1,40.2,281315
2009-04-09,40.2,41.5,36.44,39.07,170075
2009-04-17,40.0,43.69,38.17,42.91,568935
2009-04-24,42.99,44.85,38.17,44.0,379840
2009-04-30,43.07,50.48,41.29,49.3,539400
2009-05-08,54.86,57.99,53.48,57.54,553475
2009-05-15,56.36,57.0,48.75,54.54,660020
2009-05-22,52.88,57.2,52.85,55.85,134730
2009-05-29,56.79,56.79,50.66,50.7,339710
2009-06-05,52.66,53.98,49.46,52.12,271170
2009-06-12,50.49,53.89,49.7,52.68,179170
2009-06-19,53.83,53.94,49.0,51.72,235675
2009-06-26,51.55,52.59,46.93,49.66,265300
2009-07-03,50.5,51.85,49.41,50.75,128320
2009-07-10,49.0,50.59,47.45,49.5,82800
2009-07-17,48.99,52.15,48.72,51.55,139840
2009-07-24,52.15,52.57,49.0,50.91,144160
2009-07-31,52.49,52.49,45.84,48.66,431445
2009-08-07,48.96,51.99,47.3,51.0,201410
2009-08-14,50.05,54.05,49.73,53.6,222575
2009-08-21,52.22,55.88,49.98,51.61,290365
2009-08-28,51.55,53.5,50.29,50.41,149985
2009-09-04,50.5,52.0,49.3,51.91,281270
2009-09-11,52.56,54.39,50.57,51.25,217075
2009-09-18,51.59,52.26,49.2,50.0,179280
2009-09-25,49.94,50.33,47.16,49.26,199545
2009-10-02,48.28,49.95,45.72,46.67,220930
2009-10-09,46.99,47.6,43.5,43.85,262245
2009-10-16,43.5,46.61,42.27,45.8,477070
2009-10-23,45.45,46.52,44.75,45.95,114130
2009-10-30,46.18,49.55,44.38,47.65,316180
2009-11-06,48.0,51.88,45.93,50.91,262950
2009-11-13,51.3,52.34,49.5,49.7,149320
2009-11-20,50.37,51.1,47.89,47.89,167330
2009-11-27,48.61,49.86,46.34,47.5,132790
2009-12-04,47.3,48.08,46.08,47.9,161730
2009-12-11,47.62,47.93,41.54,43.95,333945
2009-12-18,44.5,44.5,41.22,41.68,375855
2009-12-23,41.47,41.47,39.88,40.95,277950
2009-12-30,40.9,42.36,40.21,42.35,186660
2010-01-08,42.815,44.935,42.465,43.25,572845
2010-01-15,43.1,45.0,42.5,43.9,352600
2010-01-22,44.26,44.65,39.355,39.86,681975
2010-01-29,39.395,40.82,36.635,37.9,420665
2010-02-05,38.4,39.18,36.0,37.205,264985
2010-02-12,37.645,41.355,35.515,36.305,461660
2010-02-19,36.4,39.5,36.255,39.27,211095
2010-02-26,39.09,39.89,35.9,36.3,271565
2010-03-05,36.6,37.88,35.12,37.3,301875
2010-03-12,37.67,38.0,36.465,36.7,207680
2010-03-19,36.12,38.5,35.4,38.0,441680
2010-03-26,38.205,40.99,37.45,40.65,333115
2010-04-01,40.795,41.47,39.2,41.185,154310
2010-04-09,41.4,44.71,40.86,44.165,461205
2010-04-16,44.59,45.64,43.64,45.005,365055
2010-04-23,44.64,46.515,43.62,45.9,246655
2010-04-30,45.9,51.0,44.51,45.81,626890
2010-05-07,45.745,46.705,38.355,38.655,578020
2010-05-14,40.7,43.0,40.7,41.0,158830
2010-05-21,41.42,41.89,37.31,39.5,279195
2010-05-28,39.8,39.95,36.92,39.6,155475
2010-06-04,39.13,39.8,36.94,38.475,216235
2010-06-11,37.525,39.54,36.67,39.0,201670
2010-06-18,39.235,40.91,38.83,39.83,268135
2010-06-25,39.66,39.995,36.31,36.35,315490
2010-07-02,36.275,36.31,33.05,34.58,364035
2010-07-09,34.79,36.295,34.01,35.97,167785
2010-07-16,35.9,39.0,34.93,38.29,267095
2010-07-23,37.25,39.69,36.45,38.005,239470
2010-07-30,39.295,39.45,36.605,37.4,143485
2010-08-06,37.95,40.11,37.55,39.86,209305
2010-08-13,40.35,41.9,38.1,40.355,194900
2010-08-20,41.005,42.16,31.34,31.5,2273635
2010-08-27,32.0,32.66,30.13,31.6,582460
2010-09-03,31.77,31.77,28.8,29.715,605210
2010-09-10,29.96,30.45,27.4,27.9,805160
2010-09-17,28.11,30.49,28.0,28.88,471320
2010-09-24,29.0,29.01,27.01,28.1,381475
2010-10-01,28.2,28.36,26.495,27.34,401010
2010-10-08,27.65,28.77,26.9,27.07,284375
2010-10-15,26.19,27.945,25.465,27.1,310330
2010-10-22,27.33,28.4,26.22,26.915,376170
2010-10-29,26.86,28.3,22.3,23.4,1470680
2010-11-05,22.64,23.95,22.3,23.4,627345
2010-11-12,23.44,23.85,22.65,22.85,1331720
2010-11-19,23.22,23.98,23.0,23.97,365920
2010-11-26,24.07,24.07,21.78,21.81,440535
2010-12-03,22.06,22.2,20.76,21.8,381790
2010-12-10,21.52,23.05,21.31,22.95,439470
2010-12-17,23.0,25.0,22.6,24.99,814805
2010-12-23,24.39,24.6,23.11,23.72,276255
2010-12-30,23.89,24.2,23.6,24.2,187820
2011-01-07,24.09,25.04,23.66,23.835,381245
2011-01-14,23.88,24.695,23.65,24.695,357430
2011-01-21,24.75,26.0,24.25,25.63,397510
2011-01-28,25.95,27.2,24.85,24.85,477625
2011-02-04,24.68,25.41,24.1,24.24,253135
2011-02-11,24.28,25.25,22.89,23.135,656515
2011-02-18,23.13,23.65,22.45,22.68,247280
2011-02-25,22.66,24.24,22.64,24.03,306250
2011-03-04,24.28,25.41,23.88,23.88,234940
2011-03-11,24.435,24.8,23.7,23.7,164495
2011-03-18,25.13,28.0,24.65,27.55,3021700
2011-03-25,27.71,28.8,26.04,28.78,1791760
2011-04-01,29.26,31.095,29.01,30.3,3517290
2011-04-08,29.9,30.4,26.325,27.18,4006525
2011-04-15,26.955,27.44,25.41,25.54,2057875
2011-04-21,24.96,25.22,23.92,24.46,1676910
2011-04-29,24.125,24.475,23.35,24.23,1250350
2011-05-06,24.13,24.365,20.89,21.36,4150025
2011-05-13,21.07,21.3,20.75,20.965,1352905
2011-05-20,20.785,22.75,20.6,22.42,1431965
2011-05-27,22.335,22.335,19.315,19.705,2087255
2011-06-03,20.055,21.6,19.99,20.53,1352960
2011-06-10,20.64,20.64,19.18,19.6,1209335
2011-06-17,19.9,20.43,17.9,18.405,1434775
2011-06-24,18.27,18.3,14.97,15.16,3171915
2011-07-01,15.0,17.67,15.0,17.235,2134140
2011-07-08,17.36,17.685,16.69,17.095,898625
2011-07-15,17.01,17.56,16.58,17.31,715770
2011-07-22,17.275,17.35,16.3,17.065,827120
2011-07-29,17.085,17.085,15.1,15.45,568185
2011-08-05,15.94,15.94,13.385,14.1,1501060
2011-08-12,13.4,14.255,11.88,12.595,2518510
2011-08-19,12.32,15.76,11.835,14.05,2489335
2011-08-26,13.95,14.405,13.135,13.69,604820
2011-09-02,14.075,14.88,13.76,13.79,792345
2011-09-09,13.615,13.705,12.55,12.715,780915
2011-09-16,12.1,13.47,11.785,13.22,695610
2011-09-23,13.09,13.1,10.845,11.225,1004200
2011-09-30,11.0,13.24,11.0,12.36,995645
2011-10-07,11.84,12.56,11.08,12.045,715195
2011-10-14,11.98,12.885,11.565,12.48,674600
2011-10-21,12.705,12.98,11.8,12.185,619155
2011-10-28,12.39,15.54,12.3,15.2,1231070
2011-11-04,12.0,12.35,10.65,10.9,2638335
2011-11-11,11.015,11.33,9.949,10.86,1425285
2011-11-18,10.875,11.0,9.711,10.105,524295
2011-11-25,9.976,10.1,9.155,9.441,1099255
2011-12-02,9.793,10.13,9.517,9.985,334110
2011-12-09,10.1,10.345,8.808,9.001,894010
2011-12-16,9.179,9.182,8.54,8.58,549055
2011-12-23,8.5,8.585,7.886,7.963,1278240
2011-12-30,8.056,8.435,7.821,8.428,1011835
2012-01-06,8.544,9.439,7.392,7.56,4512250
2012-01-13,7.72,8.56,7.544,7.738,3557800
2012-01-20,7.666,8.947,7.618,8.5,2128405
2012-01-27,8.602,8.95,8.48,8.51,1880110
2012-02-03,8.482,10.05,8.301,9.91,2580870
2012-02-10,9.36,9.65,7.58,7.697,5160110
2012-02-17,7.795,7.865,6.74,7.4,4018360
2012-02-24,7.536,8.11,7.458,7.9,1550080
2012-03-02,7.918,7.918,7.5,7.666,618215
2012-03-09,7.7,7.83,7.193,7.525,1346050
2012-03-16,7.549,8.625,7.385,8.577,2286080
2012-03-23,8.826,8.924,7.685,8.016,1595150
2012-03-30,8.0,8.27,7.469,7.61,1214975
2012-04-05,7.634,7.634,6.981,7.088,688825
2012-04-13,6.963,7.03,6.459,6.57,1996365
2012-04-20,7.475,7.99,6.728,7.21,2030280
2012-04-27,7.193,7.193,6.815,6.898,1071220
2012-05-04,6.785,6.831,5.95,5.97,1442595
2012-05-11,5.84,6.0,5.616,5.865,1007595
2012-05-18,5.863,5.863,5.0,5.05,893810
2012-05-25,5.071,5.27,4.983,5.073,976545
2012-06-01,5.22,5.499,4.628,4.65,1509285
2012-06-08,4.66,4.677,4.145,4.332,1320755
2012-06-15,4.5,4.5,3.942,3.964,1003060
2012-06-22,4.054,4.259,3.911,4.099,504610
2012-06-29,4.103,4.43,3.85,4.43,1451530
2012-07-06,4.474,4.474,3.812,3.82,1525225
2012-07-13,3.791,4.095,3.355,3.42,2437210
2012-07-20,3.373,3.68,3.373,3.59,424450
2012-07-27,3.532,3.532,3.31,3.37,320390
2012-08-03,3.392,4.212,3.342,3.74,1968925
2012-08-10,3.751,4.05,3.75,4.05,859175
2012-08-17,3.964,4.41,3.825,4.369,999550
2012-08-24,4.4,4.86,4.079,4.42,2362700
2012-08-31,4.433,5.589,4.433,5.459,2144000
2012-09-07,5.543,6.85,5.503,6.101,4650265
2012-09-14,6.144,6.288,4.604,4.86,4011105
2012-09-21,4.89,5.51,4.89,5.51,1974270
2012-09-28,5.51,6.11,5.48,5.501,1396810
2012-10-05,5.401,5.599,4.775,4.99,1709490
2012-10-12,5.053,5.147,4.55,4.6,783380
2012-10-19,4.598,4.711,4.38,4.38,618525
2012-10-26,4.388,4.388,4.056,4.146,583865
2012-11-02,4.1,4.51,4.0,4.471,675130
2012-11-09,4.492,4.492,3.434,3.586,2412095
2012-11-16,3.6,3.6,3.177,3.39,1511210
2012-11-23,3.399,3.57,3.129,3.549,1043395
2012-11-30,3.408,4.275,3.387,3.7,2267740
2012-12-07,3.757,4.199,3.757,3.98,1457360
2012-12-14,4.07,4.35,3.979,4.35,1193585
2012-12-21,4.317,4.864,4.167,4.84,2013255
2012-12-28,4.767,4.782,4.27,4.38,795710
2013-01-04,4.7,4.765,4.475,4.616,994775
2013-01-11,4.694,5.798,4.645,5.7,3294540
2013-01-18,5.541,5.541,4.98,5.187,2077040
2013-01-25,5.2,5.274,4.95,5.175,1363680
2013-02-01,5.171,5.171,4.433,4.588,1577920
2013-02-08,4.629,5.551,4.43,5.32,1672340
2013-02-15,5.297,5.534,5.01,5.423,806850
2013-02-22,5.35,5.699,5.25,5.411,687515
2013-03-01,5.49,5.65,5.371,5.51,656760
2013-03-08,5.473,5.923,5.35,5.783,736025
2013-03-15,5.905,6.43,5.905,6.111,1262160
2013-03-22,6.028,6.436,5.962,6.436,883815
2013-03-28,6.48,6.692,6.101,6.118,518900
2013-04-05,6.24,6.3,5.559,5.59,674760
2013-04-12,5.795,6.568,5.795,6.397,561380
2013-04-19,6.22,6.313,5.62,5.96,584685
2013-04-26,6.0,6.44,6.0,6.3,481290
2013-05-03,6.361,6.885,6.361,6.77,749040
2013-05-10,6.9,8.166,6.859,8.035,1270110
2013-05-17,8.46,9.716,8.403,9.256,2520415
2013-05-24,9.0,10.035,8.55,10.03,1384055
2013-05-31,10.125,11.805,10.1,11.805,1570640
2013-06-07,11.315,11.315,9.238,9.858,2110535
2013-06-14,10.095,10.4,9.23,9.72,763045
2013-06-21,9.9,10.24,9.593,9.668,660845
2013-06-28,9.843,11.21,9.37,10.81,784350
2013-07-05,11.0,11.92,10.56,11.59,701160
2013-07-12,11.73,12.725,11.64,12.53,1002105
2013-07-19,12.7,13.11,12.095,13.11,1057885
2013-07-26,13.355,14.945,13.34,14.485,1896015
2013-08-02,14.48,16.405,13.845,16.4,1735805
2013-08-09,16.5,16.98,14.19,15.19,3598420
2013-08-16,15.36,15.64,14.74,15.64,974060
2013-08-23,15.65,15.65,12.615,14.995,2866090
2013-08-30,14.92,14.92,13.225,14.08,1183225
2013-09-06,14.27,16.05,14.115,15.78,1139160
2013-09-13,15.95,16.74,15.8,16.355,1158450
2013-09-20,16.615,17.2,16.315,17.07,817900
2013-09-27,17.0,20.115,15.64,18.765,1917640
2013-10-04,18.405,20.295,18.0,20.1,1152135
2013-10-11,19.715,20.305,18.53,20.0,912620
2013-10-18,19.56,21.28,19.535,20.7,846265
2013-10-25,20.95,21.12,19.41,19.545,1024890
2013-11-01,19.59,20.495,17.77,20.165,1647040
2013-11-08,20.375,22.82,19.205,21.845,1680910
2013-11-15,21.83,21.83,20.26,20.78,1343220
2013-11-22,21.0,21.365,19.88,20.69,647365
2013-11-29,20.735,21.23,20.255,21.03,402955
2013-12-06,21.01,21.01,18.4,19.605,844250
2013-12-13,20.075,20.175,19.01,19.53,483775
2013-12-20,19.56,21.495,19.285,21.04,664090
2013-12-23,21.21,21.25,20.335,20.79,77265
2013-12-27,21.56,21.6,21.2,21.205,176990
2013-12-30,21.6,21.7,21.295,21.455,117730
2014-01-03,21.78,23.94,21.78,23.64,534030
2014-01-10,23.855,26.755,23.855,25.995,2221355
2014-01-17,26.21,26.755,25.515,25.93,774065
2014-01-24,25.815,26.135,23.73,23.73,904445
2014-01-31,23.06,25.16,21.925,24.365,1540365
2014-02-07,24.775,25.67,21.955,25.1,1769155
2014-02-14,25.65,26.75,25.205,26.48,604040
2014-02-21,26.6,26.675,25.86,26.395,899295
2014-02-28,26.295,26.38,25.255,26.01,558920
2014-03-07,25.47,27.915,24.81,27.49,1395715
2014-03-14,26.995,27.82,25.03,25.4,1350755
2014-03-21,25.395,27.355,25.395,27.29,1093180
2014-03-28,27.255,28.795,25.88,28.68,1247935
2014-04-04,29.19,31.645,29.0,31.515,1813185
2014-04-11,31.18,32.0,29.63,30.63,1559015
2014-04-17,30.185,30.36,28.775,29.4,643810
2014-04-25,30.42,31.86,30.31,30.5,525290
2014-05-02,30.75,32.82,30.37,32.35,772670
2014-05-09,32.76,35.695,31.9,35.445,1655285
2014-05-16,35.97,37.32,34.89,35.005,1174470
2014-05-23,35.82,37.91,35.17,37.115,919960
2014-05-30,37.495,39.845,37.495,39.245,777730
2014-06-06,38.705,40.405,37.505,40.35,742015
2014-06-13,40.095,40.84,37.335,38.6,993080
2014-06-20,37.935,38.04,35.23,37.61,1281070
2014-06-27,37.84,37.9,35.285,35.72,555605
2014-07-04,37.91,38.0,36.05,36.285,504430
2014-07-11,35.85,36.1,32.975,34.415,902380
2014-07-18,35.11,35.24,33.5,33.945,412450
2014-07-25,33.965,35.465,33.645,34.96,388070
2014-08-01,35.04,35.235,32.385,32.935,596650
2014-08-08,33.4,34.29,31.245,31.52,642845
2014-08-15,32.605,36.0,32.47,34.605,524095
2014-08-22,35.725,38.18,33.47,34.0,1145495
2014-08-29,34.48,34.505,31.955,32.415,1088495
2014-09-05,31.91,33.165,31.28,32.745,597580
2014-09-12,32.435,32.73,30.26,31.455,486140
2014-09-19,31.5,32.075,29.23,31.115,402815
2014-09-26,31.36,32.56,30.69,31.58,307285
2014-10-02,31.725,31.75,27.8,27.8,350410
2014-10-10,29.115,29.115,23.975,24.01,866840
2014-10-17,23.5,25.1,21.86,23.95,1089985
2014-10-24,24.57,26.855,23.845,25.12,587705
2014-10-31,25.875,26.85,24.995,26.85,561305
2014-11-07,26.91,31.8,26.57,31.7,780090
2014-11-14,32.205,32.315,29.39,30.98,1583175
2014-11-21,30.885,32.245,30.535,32.05,810880
2014-11-28,32.15,32.75,29.05,29.51,1122425
2014-12-05,28.8,32.18,28.115,32.1,1331510
2014-12-12,31.925,32.12,29.56,29.56,655535
2014-12-19,29.645,30.815,27.53,30.395,1070520
2014-12-23,31.17,31.56,30.69,30.985,195200
2014-12-30,30.94,31.09,30.03,30.37,35785
2015-01-02,31.235,32.475,31.235,31.945,46990
2015-01-09,32.09,33.485,31.26,31.815,803380
2015-01-16,31.64,32.155,29.065,30.605,956335
2015-01-23,30.615,33.3,30.1,32.8,866030
2015-01-30,32.945,35.36,32.945,34.775,508265
2015-02-06,35.27,38.655,34.85,37.75,611825
2015-02-13,38.415,38.75,33.885,35.335,1357825
