Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0045936909908172,0.0677767732399328,0.0631423605427708,-0.8252520242653314,2025-04-14 22:11:56,20250414_221156,results/seq2seq_evaluation_results_20250414_221156.csv
3d,0.0043841122433747,0.0662126290323438,0.0615844698708802,-0.7165997011705236,2025-04-14 22:11:56,20250414_221156,results/seq2seq_evaluation_results_20250414_221156.csv
7d,0.0051786665027386,0.0719629522930977,0.0673499136882961,-0.9716964193537644,2025-04-14 22:11:56,20250414_221156,results/seq2seq_evaluation_results_20250414_221156.csv
