,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree_method,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
126,0.1257690191268921,0.034994000416051746,0.0010230302810668944,0.0002690211427697569,hist,0.7,2.0,0.1,500,1,7,0.1,0.2,0.6,0.6,"{'tree_method': 'hist', 'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6}",-0.0018661800436323645,-0.016368688475527176,-0.0027723841012937227,-9.142055157068956e-05,-0.00011745978261494411,-0.00028844664850639245,-0.0003107269236776757,-0.06502188416729009,-7.104222619724338e-05,-6.0488363478335566e-05,-0.008696872128378863,0.01936698967188217,24
127,0.14459750652313233,0.03775804324759689,0.0016152381896972657,0.0012532663178335323,hist,0.9,1.5,0.1,500,5,6,0.05,0.3,0.7,0.9,"{'tree_method': 'hist', 'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}",-0.0013200771328547639,-0.01698851186912295,-0.004004984964165899,-0.00016648568802569598,-0.00016349599226083526,-0.00026703270974009916,-0.0003194212700420602,-0.06683389495344323,-8.844546286995224e-05,-8.058398520805878e-05,-0.009023293402773355,0.01989775218779239,35
128,0.009093642234802246,0.004860334398301397,0.0,0.0,gpu_hist,0.6,0.5,5.0,1000,2,8,0.0001,0.2,0.5,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 5.0, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.0001, 'gamma': 0.2, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
129,0.7741453886032105,0.3190376837464154,0.00564279556274414,0.0037733239591640384,hist,1.0,2.0,0.0,1000,7,9,0.0001,0.1,0.8,0.6,"{'tree_method': 'hist', 'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 9, 'learning_rate': 0.0001, 'gamma': 0.1, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6}",-0.009520298163741291,-0.03253220050331786,-0.026988337629452897,-0.0006249959086092127,-0.006772937213259863,-0.010355606432016716,-0.014499381670593697,-0.12274892444025545,-0.01737328199421332,-0.017847486450482,-0.02592634504059423,0.033476847142393136,80
130,0.010312509536743165,0.006309696142525497,0.0,0.0,gpu_hist,1.0,2.0,0.1,3000,3,5,0.001,0.1,0.7,0.7,"{'tree_method': 'gpu_hist', 'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 3000, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",,,,,,,,,,,,,84
131,0.12944703102111815,0.03505046280432718,0.0013308525085449219,0.0007621599476964262,hist,1.0,5.0,0.1,500,2,8,0.05,0.5,0.7,0.9,"{'tree_method': 'hist', 'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}",-0.002051192820553896,-0.018864156942404623,-0.004798914896204086,-8.131172485615267e-05,-0.00016029551308947504,-0.0003095782884673361,-0.0004603718667482789,-0.0699555836467161,-0.00013592253208456057,-0.00013011693481390353,-0.009694744516593842,0.020826357955293473,45
132,0.71971595287323,0.19615591569534285,0.003933596611022949,0.0016008031830759967,hist,0.8,1.5,2.0,1000,10,3,0.0005,0.05,1.0,0.9,"{'tree_method': 'hist', 'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 2.0, 'n_estimators': 1000, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.0005, 'gamma': 0.05, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9}",-0.0054117503208312495,-0.025697620130899487,-0.01655763616016612,-0.00028968430074763384,-0.0031901065281791643,-0.004561885887686936,-0.006710625993169484,-0.10187352870275924,-0.007901667491668209,-0.008043156147199065,-0.01802376616633066,0.028803987796814774,70
133,0.009942078590393066,0.00394342863059689,0.0,0.0,gpu_hist,0.7,1.5,0.0,1000,1,9,0.1,0.1,0.9,1.0,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0}",,,,,,,,,,,,,84
134,0.010303115844726563,0.004769159898206411,0.0,0.0,gpu_hist,0.6,2.0,0.5,5000,1,5,0.0005,0.0,1.0,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 5000, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.0005, 'gamma': 0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
135,0.009517359733581542,0.0051981328119452205,0.0,0.0,gpu_hist,0.9,1.5,0.1,3000,2,7,0.01,0.0,0.9,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 3000, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
