Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0003549770744283,0.0188408352900917,0.0144593827883002,0.8513622837237294,2025-04-13 19:49:12,20250413_194912,results/seq2seq_evaluation_results_20250413_194912.csv
3d,0.0006950084610464,0.0263630131253315,0.0184857670899752,0.7136483208927662,2025-04-13 19:49:12,20250413_194912,results/seq2seq_evaluation_results_20250413_194912.csv
7d,0.0004807546520288,0.0219261180337253,0.0167558546926139,0.80802415232665,2025-04-13 19:49:12,20250413_194912,results/seq2seq_evaluation_results_20250413_194912.csv
