Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0007794121499768,0.0279179539002561,0.0199178908890849,0.6903092508124734,2025-04-14 20:35:11,20250414_203511,results/seq2seq_evaluation_results_20250414_203511.csv
3d,0.0012615392279718,0.0355181534989058,0.0260267851844008,0.5060441563685083,2025-04-14 20:35:11,20250414_203511,results/seq2seq_evaluation_results_20250414_203511.csv
7d,0.0008153574967948,0.02855446544404,0.0200993956276128,0.6895653628065191,2025-04-14 20:35:11,20250414_203511,results/seq2seq_evaluation_results_20250414_203511.csv
