Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0008395304335386,0.028974651568891,0.0194071675505744,0.6664219194734882,2025-04-14 18:59:48,20250414_185948,results/seq2seq_evaluation_results_20250414_185948.csv
3d,0.0006028326379997,0.0245526503253672,0.0177999400462499,0.7639608046509239,2025-04-14 18:59:48,20250414_185948,results/seq2seq_evaluation_results_20250414_185948.csv
7d,0.0008388946770216,0.0289636785823488,0.0205688801667145,0.6806039489077494,2025-04-14 18:59:48,20250414_185948,results/seq2seq_evaluation_results_20250414_185948.csv
