Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0007140916459393,0.0267224932582906,0.0191130831489606,0.7162636265984577,2025-04-14 16:44:13,20250414_164413,results/seq2seq_evaluation_results_20250414_164413.csv
3d,0.0006467553546877,0.0254313852294323,0.017272409698167,0.7467628593986739,2025-04-14 16:44:13,20250414_164413,results/seq2seq_evaluation_results_20250414_164413.csv
7d,0.0012020574084717,0.0346706995670954,0.0246282973125392,0.5423354087605153,2025-04-14 16:44:13,20250414_164413,results/seq2seq_evaluation_results_20250414_164413.csv
