Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0017143035325194,0.0414041487355966,0.0335308442032326,0.3424923237442538,2025-04-22 05:20:02,20250422_052002,results/seq2seq_evaluation_results_20250422_052002.csv
3d,0.0017430351697768,0.0417496726906548,0.0356511692306111,0.3411206045742729,2025-04-22 05:20:02,20250422_052002,results/seq2seq_evaluation_results_20250422_052002.csv
7d,0.0022690743221425,0.0476348015860522,0.0413594973833318,0.1640458667321322,2025-04-22 05:20:02,20250422_052002,results/seq2seq_evaluation_results_20250422_052002.csv
