Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0016826299647329,0.0410198728024965,0.034263643604884,0.331425697688908,2025-04-14 21:19:50,20250414_211950,results/seq2seq_evaluation_results_20250414_211950.csv
3d,0.0017739754304282,0.0421185877069519,0.0353416209449888,0.3053996967439003,2025-04-14 21:19:50,20250414_211950,results/seq2seq_evaluation_results_20250414_211950.csv
7d,0.0022663774066921,0.0476064849226671,0.0441990037496723,0.1371121860587105,2025-04-14 21:19:50,20250414_211950,results/seq2seq_evaluation_results_20250414_211950.csv
