Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.000904250765966,0.0300707626435726,0.0273497046808244,0.6407060152016386,2025-04-14 20:59:01,20250414_205901,results/seq2seq_evaluation_results_20250414_205901.csv
3d,0.0005995232545106,0.0244851639674038,0.0198423791569251,0.7652565941729742,2025-04-14 20:59:01,20250414_205901,results/seq2seq_evaluation_results_20250414_205901.csv
7d,0.0004969285837868,0.0222918950245796,0.016781225265758,0.8108021999854649,2025-04-14 20:59:01,20250414_205901,results/seq2seq_evaluation_results_20250414_205901.csv
