Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0020792830342925,0.0455991560699592,0.0413042618817649,0.1738200120666519,2025-04-14 18:13:57,20250414_181357,results/seq2seq_evaluation_results_20250414_181357.csv
3d,0.0007113965982765,0.0266720190138752,0.0195630427786787,0.7214525723284922,2025-04-14 18:13:57,20250414_181357,results/seq2seq_evaluation_results_20250414_181357.csv
7d,0.0006317404593554,0.025134447663624,0.0196434662820369,0.7594746831035866,2025-04-14 18:13:57,20250414_181357,results/seq2seq_evaluation_results_20250414_181357.csv
