Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0014391434235834,0.0379360438578327,0.0323384045992277,0.4281723667624375,2025-04-14 21:08:42,20250414_210842,results/seq2seq_evaluation_results_20250414_210842.csv
3d,0.0014569106505088,0.0381694989554338,0.0336392396733432,0.4295464512627264,2025-04-14 21:08:42,20250414_210842,results/seq2seq_evaluation_results_20250414_210842.csv
7d,0.002670497726336,0.0516768587119621,0.0472091355574495,-0.0167503163458602,2025-04-14 21:08:42,20250414_210842,results/seq2seq_evaluation_results_20250414_210842.csv
