Horizon,MSE,RMSE,MAE,R2,timestamp,version,file
1d,0.0016643917644114,0.0407969577837788,0.0340131018783596,0.3386724437417967,2025-04-14 20:55:01,20250414_205501,results/seq2seq_evaluation_results_20250414_205501.csv
3d,0.0022417080749794,0.0473466796616131,0.0362052634278829,0.1222589208484731,2025-04-14 20:55:01,20250414_205501,results/seq2seq_evaluation_results_20250414_205501.csv
7d,0.00129801547202,0.0360279817922127,0.0279330874353146,0.5058008742030031,2025-04-14 20:55:01,20250414_205501,results/seq2seq_evaluation_results_20250414_205501.csv
